source,target
2815077014,30380195
2815077014,9.7358E+17
2815077014,16912124
2815077014,47269394
2815077014,1.24707E+18
2815077014,74629807
2815077014,21212087
2815077014,4923099150
2815077014,8.61278E+17
2815077014,15973037
2815077014,221106001
2815077014,21986589
2815077014,382763253
2815077014,596687292
2815077014,80651045
2815077014,24789175
2815077014,229005889
2815077014,427505253
2815077014,1561140974
2815077014,239210681
2815077014,30844417
2815077014,24889586
2815077014,500069464
2815077014,8.41512E+17
2815077014,1.07038E+18
2815077014,4625037762
2815077014,1499527722
2815077014,591797093
2815077014,1480223102
2815077014,1.19585E+18
2815077014,2916305152
2815077014,130076256
2815077014,2577596593
2815077014,19541556
2815077014,7.71267E+17
2815077014,1.12334E+18
2815077014,537861776
2815077014,15464697
2815077014,15278016
2815077014,1.06722E+18
2815077014,291475438
2815077014,13075702
2815077014,885768944
2815077014,783792992
2815077014,36434049
2815077014,1.05968E+18
2815077014,114485232
2815077014,1.01147E+18
2815077014,771152516
2815077014,138203134
2815077014,107854338
2815077014,9.42128E+17
2815077014,9.73678E+17
2815077014,2286218053
2815077014,8.93882E+17
2815077014,3050272306
2815077014,804775
2815077014,65375759
2815077014,1915033663
2815077014,2758342215
2815077014,1720046887
2815077014,19968025
2815077014,3296271
2815077014,48459936
2815077014,7005182
2815077014,9.11297E+17
2815077014,454099919
2815077014,96135022
2815077014,18059898
2815077014,322636963
2815077014,7.48529E+17
2815077014,7459192
2815077014,21176973
2815077014,2967221722
2815077014,399948170
2815077014,451586190
2815077014,47475039
2815077014,4417968213
2815077014,7.74046E+17
2815077014,159225370
2815077014,20479813
2815077014,1177048016
2815077014,39547749
2815077014,257287707
2815077014,118470043
2815077014,19044996
2815077014,2329066872
2815077014,62576091
2815077014,118263124
2815077014,5746452
2815077014,2384071
2815077014,33423
2815077014,989
2815077014,50393960
2815077014,11388132
2815077014,5763262
2815077014,42226885
2815077014,858051
2815077014,93957809
95807398,1135017996
95807398,413274241
95807398,1.38523E+18
95807398,7.31539E+17
95807398,1.36626E+18
95807398,1.07679E+18
95807398,51695319
95807398,2235729541
95807398,35473191
95807398,3055871650
95807398,1.3557E+18
95807398,1.06525E+18
95807398,1.33267E+18
95807398,186154646
95807398,1.23278E+18
95807398,340331086
95807398,47549303
95807398,537309090
95807398,110505844
95807398,7.2141E+17
95807398,22868434
95807398,421248723
95807398,8.42287E+17
95807398,47126544
95807398,1.17567E+18
95807398,2435411576
95807398,9.9582E+17
95807398,76844458
95807398,2582562763
95807398,1356479304
95807398,116490517
95807398,68746721
95807398,1408142352
95807398,9.92754E+17
95807398,16995996
95807398,8.9048E+17
95807398,237973737
95807398,825766640
95807398,1.3193E+18
95807398,1.14105E+18
95807398,1.15369E+18
95807398,1.34915E+18
95807398,8.03694E+17
95807398,8.22216E+17
95807398,1106682277
95807398,175282603
95807398,142415193
95807398,9.92154E+17
95807398,1.26785E+18
95807398,1.33923E+18
95807398,1.32956E+18
95807398,15720374
95807398,215227842
95807398,4844354055
95807398,3952264995
95807398,8.44705E+17
95807398,14792254
95807398,784830007
95807398,1.22513E+18
95807398,366359040
95807398,1.21822E+18
95807398,1.22514E+18
95807398,1846655912
95807398,595910929
95807398,1.20764E+18
95807398,30354991
95807398,939091
95807398,18856189
95807398,9.76898E+17
95807398,9.34585E+17
95807398,1.20235E+18
95807398,1.29311E+18
95807398,8.51224E+17
95807398,9.35453E+17
95807398,8.8517E+17
95807398,169957723
95807398,1.18802E+18
95807398,3295117879
95807398,3377476689
95807398,421795636
95807398,1.16547E+18
95807398,1688156184
95807398,1.29203E+18
95807398,375681420
95807398,9.87597E+17
95807398,118263124
95807398,138840988
95807398,8.92732E+17
95807398,82364810
95807398,9.9449E+17
95807398,1906878560
95807398,1713417312
95807398,90858723
95807398,16228398
95807398,1.27327E+18
95807398,1.15983E+18
95807398,14627052
95807398,1.11083E+18
95807398,7.40238E+17
14968475,3376146821
14968475,8.61417E+17
14968475,107269285
14968475,136828692
14968475,752437303
14968475,8.12128E+17
14968475,1.11138E+18
14968475,19968025
14968475,46668733
14968475,817083
14968475,359831209
14968475,1408142352
14968475,1.32417E+18
14968475,138203134
14968475,145749531
14968475,2785337469
14968475,1.12334E+18
14968475,1.03552E+18
14968475,9.6459E+17
14968475,8.93882E+17
14968475,290156167
14968475,19381277
14968475,5620142
14968475,1354948508
14968475,149574309
14968475,8.4619E+17
14968475,345520689
14968475,2606796080
14968475,171373736
14968475,874409930
14968475,221857665
14968475,4417968213
14968475,39547749
14968475,3284976270
14968475,519809368
14968475,118470043
14968475,7.48529E+17
14968475,813286
14968475,39547186
14968475,79923701
14968475,23650442
14968475,3010840484
14968475,1566843266
14968475,14367669
14968475,22058679
14968475,183980665
14968475,1398650820
14968475,596687292
14968475,34376328
14968475,24608543
14968475,920491754
14968475,472540675
14968475,3794962693
14968475,14191265
14968475,130745589
14968475,14358365
14968475,267268513
14968475,372910226
14968475,319604670
14968475,3413014162
14968475,153079285
14968475,91634245
14968475,163802435
14968475,432713448
14968475,133770062
14968475,765548
14968475,38539630
14968475,62948317
14968475,20621579
14968475,26703365
14968475,119171901
14968475,2815077014
14968475,2251623492
14968475,41315003
14968475,14700258
14968475,140980031
14968475,23745072
14968475,550034619
14968475,21195851
14968475,759249
14968475,18355984
14968475,399948170
14968475,2391
14968475,17874869
14968475,19047201
14968475,1598411
14968475,1692511165
14968475,2817287473
14968475,16316886
14968475,4497671
14968475,47226743
14968475,1482958520
14968475,6181942
14968475,62576091
14968475,2361827474
14968475,50159591
14968475,1648903272
14968475,156016878
14968475,33636017
1408142352,216016685
1408142352,622626514
1408142352,24462913
1408142352,15213054
1408142352,2330270627
1408142352,225146537
1408142352,1.01919E+18
1408142352,1708383414
1408142352,1935832362
1408142352,8.61278E+17
1408142352,106411207
1408142352,256833444
1408142352,2846058853
1408142352,133573787
1408142352,8.44342E+17
1408142352,1.24106E+18
1408142352,17800689
1408142352,1.02237E+18
1408142352,8.93716E+17
1408142352,6357872
1408142352,495741531
1408142352,602142693
1408142352,1.07688E+18
1408142352,7156832
1408142352,18246193
1408142352,3299337643
1408142352,1.29732E+18
1408142352,81637722
1408142352,349788190
1408142352,14556945
1408142352,886925484
1408142352,1.32121E+18
1408142352,1.16793E+18
1408142352,4923099150
1408142352,112591427
1408142352,57185317
1408142352,32519755
1408142352,143240400
1408142352,5966462
1408142352,477030336
1408142352,2493849280
1408142352,8.77607E+17
1408142352,1.30184E+18
1408142352,1368571
1408142352,144553035
1408142352,2551462915
1408142352,2343972634
1408142352,1.31439E+18
1408142352,1.18491E+18
1408142352,2286957506
1408142352,14702822
1408142352,9.22849E+17
1408142352,1.12038E+18
1408142352,3300709915
1408142352,1.26852E+18
1408142352,21021247
1408142352,3014885483
1408142352,1072508497
1408142352,60941013
1408142352,8.73569E+17
1408142352,8.73986E+17
1408142352,90981290
1408142352,438692340
1408142352,7.81452E+17
