source,target
177MilkStreet,dgaproductions
177MilkStreet,johnpneedham
2020_sdm,2020_sdm
2021Ecir,Philipp_Mayr
2021Ecir,micros2021
2021Ecir,ida_mele
2021Ecir,kbeckh
2021Ecir,ida_mele
2021Ecir,TkachukSergiy
2021Ecir,iadh
2021Ecir,iadh
2021Ecir,djoerd
2021Ecir,Philipp_Mayr
2021Ecir,ida_mele
2021Ecir,2021Ecir
2021Ecir,OlegZendel
2021Ecir,ida_mele
2021Ecir,ida_mele
2021Ecir,fabreetseo
6Bacon,EricTopol
6Bacon,jacomyma
6Bacon,Shugars
6Bacon,susan_cogan
6Bacon,BlaineGreteman
6Bacon,NISOInfo
6Bacon,KathrynTomasek
6Bacon,EarlyModConv
6Bacon,randontlocke
6Bacon,KnitMeAThneed
6Bacon,MBU_Shakespeare
6Bacon,hiramjmorgan
6Bacon,carloberg
6Bacon,DJMusgrove
841io,katecrawford
841io,GoogleAI
841io,EvanCollins90
841io,mauldin_laura
841io,histoftech
841io,BostonJoan
841io,TarletonG
841io,BostonJoan
841io,Khipu_AI
841io,TaliaRinger
841io,MSFTResearch
841io,RebeccaFiebrink
841io,poblete
841io,ybika
841io,rajiinio
841io,SIGIRConf
841io,ashton1anderson
AASchapiro,AvaKofman
AASchapiro,AASchapiro
AASchapiro,AASchapiro
AASchapiro,hannahdreier
AASchapiro,hossambahgat
AASchapiro,awhawth
AASchapiro,EDerenoncourt
AASchapiro,PODERlatam
AASchapiro,MaraHvistendahl
AASchapiro,MaraHvistendahl
AASchapiro,MaraHvistendahl
abdallah197_,deliprao
abdallah197_,feministabulous
abdallah197_,TejasKumar_
abdallah197_,hadyelsahar
abdallah197_,siddharthb_
abdallah197_,NumbersMuncher
abdallah197_,seb_ruder
abdallah197_,v_matzek
abhi1thakur,huggingface
abhi1thakur,TheEllenShow
abhi1thakur,julien_c
abifet,stephenharlow
abifet,profwinikoff
abifet,fracpete
abifet,DAMI_Social
abifet,_Dr_MH
abifet,skmultiflow
abifet,geoffHulten
abifet,ekkonosolutions
abifet,___Mc__
abifet,evitamonal
abigail_e_see,stanfordnlp
abigail_e_see,stanfordnlp
abigail_e_see,FeiziSoheil
abigail_e_see,sarahookr
abigail_e_see,sebgehr
abigail_e_see,StanfordAILa
abigail_e_see,gradientpu
abigail_e_see,annargrs
abigail_e_see,ivn_finaev
abigail_e_see,nghushe
abigail_e_see,vlangloisx3
abigail_e_see,roydanroy
AbraarKaran,larmbrust
AbraarKaran,mrssarahmhf
AbraarKaran,RanuDhillon
AbraarKaran,hstoklosa
AbraarKaran,AbraarKaran
AbraarKaran,USAndIndia
AbraarKaran,pallavipnt
AbraarKaran,pallavipnt
AbraarKaran,pallavipnt
AbraarKaran,larmbrust
AbraarKaran,Cov360com
AbraarKaran,cogwbur
AbraarKaran,ft4s
AbraarKaran,Susmitag85
AbraarKaran,ShekharGupta
AcademicsSay,exoZafar
AcademicsSay,xkcd
AcademicsSay,AcademicsSay
AcademicsSay,NMGasparini
AcademicsSay,AcademicsSay
AcademicsSay,AcademicsSay
AcademicsSay,ChelseaParlett
AcademicsSay,monjalexander
AcademicsSay,menachemkaiser
AcademicsSay,AcademicsSay
AcademicsSay,JeanniePrinsen
AcademicsSay,AcademicsSay
AcademicsSay,OdedRechavi
accessnow,Observacom
accessnow,TEDICpy
accessnow,p_schuster
accessnow,IFEX
accessnow,TechChange
accessnow,MENA_Rights
accessnow,freepress
accessnow,CodaStory
accessnow,simplysecureorg
accessnow,rodyja
accessnow,veroluiza
accessnow,FCC
accessnow,AttorneyNora
accessnow,PENamerica
accessnow,axios
acerbialberto,MGurven
acerbialberto,amesoudi
acerbialberto,evoluchico
acerbialberto,David_A_Muller
acerbialberto,padillaccc
acerbialberto,p_barbera
acerbialberto,BrendanNyhan
acerbialberto,RERobertson
acerbialberto,DG_Rand
acerbialberto,journalqd
acerbialberto,LeeDugatkin
aclmeeting,ReviewAcl
ACMBooks,MorganClaypool
acmeducation,MIT_CSAIL
acmeducation,ACMDL
acmeducation,csteachersorg
acmeducation,ACMDL
acmeducation,TheOfficialACM
acmeducation,SIGHPC
acmeducation,CACMmag
acmeducation,acmmmsys
acmeducation,CACMmag
acmeducation,GoogleAI
acmeducation,ProfPaulRalph
acmeducation,TheOfficialACM
acmeducation,hadleywickham
acmeducation,TheOfficialACM
acmeducation,HYD_Deccan_ACM
ACMIUI,ACMIUI
ACMIUI,ACMIUI
ACMIUI,vijayrajanna
ACMIUI,AffectiveG
ACMIUI,CONTACT_unit
ACMIUI,TAMU_IEEI
ACMIUI,HCI_Punk
ACMRecSys,alansaid
ACMRecSys,__luca
ACMRecSys,ngrams
ACMSIGIR,ACM_CHIIR
ACMSIGIR,ACM_CHIIR
ACMSIGIR,SIGIRConf
ACMSIGIR,SIGIRConf
ACMSIGIR,BenCarterette
ACMSIGIR,BenCarterette
ACMSIGIR,BenCarterette
ACMSIGIR,SIGIRConf
ACMSIGIR,cikm2020
ACMSIGIR,jcdl20201
ACMSIGIR,SIGIRForum
ACMSIGIR,researchbyliv
ACMSIGIR,ACMDL
ACMSIGIR,ACM_CHIIR
ACMSIGIR,SIGIRForum
ACMSIGIR,SIGIRForum
ACMSIGIR,ACM_CHIIR
ACMSIGIR,ACM_CHIIR
ACMSIGIR,phonedude_mln
ACM_CHIIR,iFromm
ACM_CHIIR,christine_bauer
ACM_CHIIR,SIGIRForum
ACM_CHIIR,JTrippas
ACM_CHIIR,chirag_shah
ACM_CHIIR,pt_ir
ACM_CHIIR,leifos
ACM_CHIIR,DanaChatter
ACM_CHIIR,iFromm
ACM_CHIIR,damiano10
ACM_CHIIR,JTrippas
ACM_CHIIR,gingdottwit
ACM_CHIIR,mariluberlin
ACM_CHIIR,mariluberlin
ACM_CHIIR,TheVirtualChair
acm_ictir,acm_ictir
acm_ictir,tetsuyasakai
ACM_President,iitgn
adityagp,_d0rx_
adityagp,DixinTang
adityagp,janakivivrekar
adityagp,lux_api
adityagp,ucbrise
adityagp,ucbrise
adityagp,jeffrey_heer
adityagp,joe_hellerstein
adityagp,sscdotopen
adityagp,sh_reya
adityagp,ksalimi
adityagp,JanWrampelmeyer
adityagp,indygupta
afreedma,m_parrington
afreedma,ShariBell
afreedma,WHCOS
afreedma,NorwayAmbUSA
afreedma,danprimack
afreedma,sundarpichai
afreedma,axios
afreedma,rianschatz
afreedma,leahstokes
afreedma,david_turnbull
ahandvanish,ThinkActTank
ahandvanish,TheDA_UK
ahandvanish,DavidSteadson
ahandvanish,ABBCmd
ahandvanish,CovidSolidarit1
ahandvanish,NPRHealth
ahandvanish,EricTopol
ahandvanish,TheLancet
ahandvanish,mykola
ahandvanish,KatherineJWu
ahandvanish,kayaeger1
ahandvanish,DrTomFrieden
ahandvanish,ontapphysio2
ahandvanish,mykola
ahandvanish,mykola
ahandvanish,mykola
ahandvanish,mykola
AIESConf,sethlazar
AIESConf,rcalo
AIESConf,conitzer
AIESConf,EmanuelleBurton
AIESConf,SilverJacket
AIESConf,conitzer
AIESConf,stephenjcave
AIESConf,FAccTConference
AIESConf,conitzer
AIESConf,conitzer
AIESConf,ShannonVallor
AIESConf,conitzer
AIESConf,ShannonVallor
AIESConf,conitzer
AIESConf,conitzer
AIESConf,JTasioulas
AIESConf,JTasioulas
AIESConf,conitzer
AIESConf,FAccTConference
AishaBlake,shaundai
AishaBlake,Elmeria13
AishaBlake,NickCho
AishaBlake,amyhoy
AishaBlake,codeability
AishaBlake,kenny_io
akbc_conf,emnlpmeeting
akbc_conf,danieldazac
akbc_conf,mikektung
akbc_conf,AsmaBenAbacha
akbc_conf,edgarmeij
akbc_conf,TechAtBloomberg
akbc_conf,Fabio_Petroni
akbc_conf,Fabio_Petroni
akbc_conf,RahelJhirad
akbc_conf,negationInKBs
akbc_conf,zgives
akbc_conf,dipanjand
akbc_conf,_ajhepburn
akbc_conf,michigan_AI
akbc_conf,WikiResearch
akbc_conf,RahelJhirad
alansaid,AndrewBarnas
alansaid,navatintarev
alansaid,natashajaques
alansaid,ACMRecSys
AldoLipani,C_Schillaci
AldoLipani,CIKM2021
AldoLipani,CIKM2021
AldoLipani,krisztianbalog
AldoLipani,shalinikantayya
AldoLipani,C_Schillaci
AldoLipani,asia_biega
AldoLipani,IR_oldie
AldoLipani,svakulenk0
AldoLipani,BenCarterette
AldoLipani,s_hofstaetter
AlecRad,hancocktom
AlecRad,fjwolski
AlecRad,mcleavey
AlecRad,rewonfc
AlecRad,gneubig
AlecRad,NandoDF
AlecRad,jachiam0
alexk_z,GoogleAI
alexk_z,ikostrikov
alexk_z,svlevine
alexk_z,AleksandraFaust
alexk_z,jackclarkSF
alexk_z,DeepMind
alexk_z,arankomatsuzaki
alexk_z,matteohessel
alexk_z,marwinsegler
alexk_z,nathanheller
alexk_z,seb_ruder
alexk_z,clarelyle
alexk_z,arankomatsuzaki
alexk_z,olivierjeunen
alexk_z,arankomatsuzaki
alexk_z,ak92501
alexk_z,svlevine
alexk_z,PrimeministerGR
alexk_z,odonoghue85
AlexTensor,IEEEDSAA
AlexTensor,ProfFeynman
AlexTensor,natashajaques
AlexTensor,kareem_carr
AlexTensor,hiskov
AlexTensor,UCR_CSE
AlexTensor,AlexVasilescu
AlexTensor,facebookai
AlexTensor,CSProfKGD
AlexTensor,dianaloren31
AlexTensor,ieeeypctx
AlexTensor,EpiEllie
AlexTensor,erikbryn
AlexTensor,luislam
AlexTensor,ylecun
AlexTensor,kareem_carr
alexvespi,CDCgov
alexvespi,mtizzoni
alexvespi,EricTopol
alexvespi,Shugars
alexvespi,pfizer
alexvespi,LuisMateusRocha
alexvespi,mvankerkhove
alexvespi,CDCgov
alexvespi,WiNS_Society
alex_conneau,schrep
alex_conneau,CamachoCollados
alex_conneau,RexChapman
alex_conneau,seb_ruder
alex_conneau,MichaelAuli
alex_conneau,seb_ruder
alex_conneau,schrep
alex_conneau,huggingface
alex_conneau,sumedh_khodke
