,source,target
0,seb_ruder,entolmachoff
1,seb_ruder,mireillecharper
2,seb_ruder,BarackObama
3,seb_ruder,DeepMind
4,seb_ruder,paperswithcode
5,seb_ruder,AndrewYNg
6,seb_ruder,AndrewM_We
7,seb_ruder,DeepMind
8,seb_ruder,SaschaTrippe
9,seb_ruder,math_rachel
10,seb_ruder,_inesmontani
11,seb_ruder,josh_tobin_
12,seb_ruder,jeremyphoward
13,seb_ruder,AndreasZeller
14,seb_ruder,GalaxyKate
15,seb_ruder,SanhEstPasMoi
16,seb_ruder,AlecRad
17,seb_ruder,abdallah197_
18,seb_ruder,SanhEstPasMoi
19,seb_ruder,DeepMind
20,seb_ruder,lena_voita
21,seb_ruder,spacy_io
22,seb_ruder,sannykimchi
23,seb_ruder,jeremyphoward
24,seb_ruder,huggingface
25,seb_ruder,paperswithcode
26,seb_ruder,SanhEstPasMoi
27,seb_ruder,CamachoCollados
28,seb_ruder,DeepMind
29,seb_ruder,GoogleAI
30,seb_ruder,Thom_Wolf
31,seb_ruder,hardmaru
32,seb_ruder,colinraffel
33,seb_ruder,Moustapha_6C
34,seb_ruder,Raspberry_Pi
35,seb_ruder,jeremyphoward
36,seb_ruder,natschluter
37,seb_ruder,paperswithcode
38,seb_ruder,sabelonow
39,seb_ruder,jeremyphoward
40,seb_ruder,the_antlr_guy
41,seb_ruder,coqui_ai
42,seb_ruder,iamtrask
43,seb_ruder,MasakhaneNLP
44,seb_ruder,math_rachel
45,seb_ruder,TensorFlow
46,seb_ruder,DeepMind
47,seb_ruder,hardmaru
48,seb_ruder,Thom_Wolf
49,seb_ruder,gcosma1
50,seb_ruder,alex_conneau
51,seb_ruder,chipro
52,seb_ruder,jeremyphoward
53,seb_ruder,alienelf
54,seb_ruder,chipro
55,seb_ruder,omarsar0
56,seb_ruder,wluper_
57,seb_ruder,fchollet
58,seb_ruder,gregd_nlp
59,seb_ruder,MarekRei
60,seb_ruder,jeremyphoward
61,seb_ruder,Parisa__Rashidi
62,seb_ruder,jeremyphoward
63,seb_ruder,dennybritz
64,seb_ruder,jeremyphoward
65,seb_ruder,lilianweng
66,seb_ruder,PeterMartigny
67,seb_ruder,kcimc
68,seb_ruder,HYannakoudakis
69,seb_ruder,mihail_eric
70,rctatman,TatianaTMac
71,rctatman,AriBerman
72,rctatman,KirkCodes
73,rctatman,staceyabrams
74,rctatman,DataSciBae
75,rctatman,GalaxyKate
76,rctatman,Max_Fisher
77,rctatman,hatr
78,rctatman,BBCNewsGraphics
79,rctatman,sarahookr
80,rctatman,tha_rami
81,rctatman,en_j_lindsay
82,rctatman,korolova
83,rctatman,allison_horst
84,rctatman,cfiesler
85,rctatman,spacy_io
86,rctatman,katecrawford
87,rctatman,emilymbender
88,rctatman,AishaBlake
89,rctatman,LisaDeBruine
90,rctatman,nlhkabu
91,rctatman,TomerUllman
92,rctatman,poppacalypse
93,rctatman,random_walker
94,rctatman,emilymbender
95,rctatman,le_roux_nicolas
96,rctatman,GretchenAMcC
97,rctatman,LacePadilla
98,rctatman,TedOnPrivacy
99,rctatman,wbrentthorne
100,rctatman,kareem_carr
101,rctatman,_inesmontani
102,rctatman,coqui_ai
103,rctatman,peteskomoroch
104,rctatman,MasakhaneNLP
105,rctatman,hspter
106,rctatman,strnr
107,rctatman,Data4BlackLives
108,rctatman,yy
109,rctatman,DingemanseMark
110,rctatman,DeepIndaba
111,rctatman,hypervisible
112,rctatman,heintgestae
113,rctatman,gdequeiroz
114,rctatman,lack_in_ai
115,rctatman,d3l1b1d1n8r
116,rctatman,fagfemme_menace
117,rctatman,jcllobet
118,rctatman,JuliaAngwin
119,rctatman,sarahookr
120,rctatman,_josh_meyer_
121,rctatman,alienelf
122,rctatman,mixedlinguist
123,rctatman,iainh_z
124,rctatman,hardmaru
125,rctatman,vogon
126,rctatman,rajiinio
127,rctatman,HarveenChadha
128,rctatman,mer__edith
129,rctatman,timnitGebru
130,rctatman,hannawallach
131,rctatman,timnitGebru
132,rctatman,gradientpu
133,rctatman,vboykis
134,rctatman,minrk
135,rctatman,NAACLHLT
136,rctatman,sarahookr
137,rctatman,TiltR
138,rctatman,LawAislinn
139,rctatman,coolbutuseless
140,rctatman,sschoenholz
141,rctatman,lesan_ai
142,rctatman,Nicole_Janeway
143,rctatman,williampietri
144,rctatman,AASchapiro
145,rctatman,aclmeeting
146,rctatman,matt_blackwell
147,rctatman,douwekiela
148,rctatman,gneubig
149,rctatman,jcllobet
150,rctatman,SanhEstPasMoi
151,rctatman,iseeaswell
152,rctatman,nihilist_ds
153,rctatman,rajiinio
154,rctatman,accessnow
155,rctatman,matplotli
156,math_rachel,Kasparov63
157,math_rachel,samswey
158,math_rachel,RealAbril
159,math_rachel,DanRather
160,math_rachel,chronicparent30
161,math_rachel,HabenGirma
162,math_rachel,arawnsley
163,math_rachel,michaelharriot
164,math_rachel,jeremyphoward
165,math_rachel,samswey
166,math_rachel,aekdal
167,math_rachel,CAKitchener
168,math_rachel,zeynep
169,math_rachel,zeynep
170,math_rachel,noUpside
171,math_rachel,YaelEisenstat
172,math_rachel,jeremyphoward
173,math_rachel,JimMFelton
174,math_rachel,IfeomaOzoma
175,math_rachel,edyong209
176,math_rachel,BreeNewsome
177,math_rachel,the_etheropian
178,math_rachel,jeremyphoward
179,math_rachel,BretDevereaux
180,math_rachel,JasonOverstreet
181,math_rachel,sannewman
182,math_rachel,zeynep
183,math_rachel,KeithNHumphreys
184,math_rachel,jbouie
185,math_rachel,rfrosencrans
186,math_rachel,IjeomaOluo
187,math_rachel,osazuwa
188,math_rachel,jeremyphoward
189,math_rachel,LarryGlickman
190,math_rachel,nicolask
191,math_rachel,random_walker
192,math_rachel,jenbrea
193,math_rachel,zeynep
194,math_rachel,kirstenweld
195,math_rachel,aprilaser
196,math_rachel,zeynep
197,math_rachel,chipro
198,math_rachel,CassieChristop
199,math_rachel,wfithian
200,math_rachel,JuliaLMarcus
201,math_rachel,zeynep
202,math_rachel,jeremyphoward
203,math_rachel,_rabia_ali_
204,math_rachel,timnitGebru
205,math_rachel,jeremyphoward
206,math_rachel,nanaslugdiva
207,math_rachel,zeynep
208,math_rachel,xkcdComic
209,math_rachel,SFdirewolf
210,math_rachel,Combsthepoet
211,math_rachel,RMac18
212,math_rachel,mikarv
213,math_rachel,timnitGebru
214,math_rachel,NesrineMalik
215,math_rachel,mekkaokereke
216,math_rachel,zeynep
217,math_rachel,sarahookr
218,math_rachel,random_walker
219,math_rachel,le_roux_nicolas
220,math_rachel,sidneyfussell
221,math_rachel,AbraarKaran
222,math_rachel,jeremyphoward
223,math_rachel,zeynep
224,math_rachel,AbraarKaran
