source,target
seb_ruder,entolmachoff
seb_ruder,mireillecharper
seb_ruder,BarackObama
seb_ruder,DeepMind
seb_ruder,paperswithcode
seb_ruder,AndrewYNg
seb_ruder,AndrewM_We
seb_ruder,DeepMind
seb_ruder,SaschaTrippe
seb_ruder,math_rachel
seb_ruder,_inesmontani
seb_ruder,josh_tobin_
seb_ruder,jeremyphoward
seb_ruder,AndreasZeller
seb_ruder,GalaxyKate
seb_ruder,SanhEstPasMoi
seb_ruder,AlecRad
seb_ruder,abdallah197_
seb_ruder,SanhEstPasMoi
seb_ruder,DeepMind
seb_ruder,lena_voita
seb_ruder,spacy_io
seb_ruder,sannykimchi
seb_ruder,jeremyphoward
seb_ruder,huggingface
seb_ruder,paperswithcode
seb_ruder,SanhEstPasMoi
seb_ruder,CamachoCollados
seb_ruder,DeepMind
seb_ruder,GoogleAI
seb_ruder,Thom_Wolf
seb_ruder,hardmaru
seb_ruder,colinraffel
seb_ruder,Moustapha_6C
seb_ruder,Raspberry_Pi
seb_ruder,jeremyphoward
seb_ruder,natschluter
seb_ruder,paperswithcode
seb_ruder,sabelonow
seb_ruder,jeremyphoward
seb_ruder,the_antlr_guy
seb_ruder,coqui_ai
seb_ruder,iamtrask
seb_ruder,MasakhaneNLP
seb_ruder,math_rachel
seb_ruder,TensorFlow
seb_ruder,DeepMind
seb_ruder,hardmaru
seb_ruder,Thom_Wolf
seb_ruder,gcosma1
seb_ruder,alex_conneau
seb_ruder,chipro
seb_ruder,jeremyphoward
seb_ruder,alienelf
seb_ruder,chipro
seb_ruder,omarsar0
seb_ruder,wluper_
seb_ruder,fchollet
seb_ruder,gregd_nlp
seb_ruder,MarekRei
seb_ruder,jeremyphoward
seb_ruder,Parisa__Rashidi
seb_ruder,jeremyphoward
seb_ruder,dennybritz
seb_ruder,jeremyphoward
seb_ruder,lilianweng
seb_ruder,PeterMartigny
seb_ruder,kcimc
seb_ruder,HYannakoudakis
seb_ruder,mihail_eric
rctatman,TatianaTMac
rctatman,AriBerman
rctatman,KirkCodes
rctatman,staceyabrams
rctatman,DataSciBae
rctatman,GalaxyKate
rctatman,Max_Fisher
rctatman,hatr
rctatman,BBCNewsGraphics
rctatman,sarahookr
rctatman,tha_rami
rctatman,en_j_lindsay
rctatman,korolova
rctatman,allison_horst
rctatman,cfiesler
rctatman,spacy_io
rctatman,katecrawford
rctatman,emilymbender
rctatman,AishaBlake
rctatman,LisaDeBruine
rctatman,nlhkabu
rctatman,TomerUllman
rctatman,poppacalypse
rctatman,random_walker
rctatman,emilymbender
rctatman,le_roux_nicolas
rctatman,GretchenAMcC
rctatman,LacePadilla
rctatman,TedOnPrivacy
rctatman,wbrentthorne
rctatman,kareem_carr
rctatman,_inesmontani
rctatman,coqui_ai
rctatman,peteskomoroch
rctatman,MasakhaneNLP
rctatman,hspter
rctatman,strnr
rctatman,Data4BlackLives
rctatman,yy
rctatman,DingemanseMark
rctatman,DeepIndaba
rctatman,hypervisible
rctatman,heintgestae
rctatman,gdequeiroz
rctatman,lack_in_ai
rctatman,d3l1b1d1n8r
rctatman,fagfemme_menace
rctatman,jcllobet
rctatman,JuliaAngwin
rctatman,sarahookr
rctatman,_josh_meyer_
rctatman,alienelf
rctatman,mixedlinguist
rctatman,iainh_z
rctatman,hardmaru
rctatman,vogon
rctatman,rajiinio
rctatman,HarveenChadha
rctatman,mer__edith
rctatman,timnitGebru
rctatman,hannawallach
